Index,Volume,Name,Census isosig,Method,Time,Final isosig,Genus,Census fundamental group rank,Homology rank,Haken,
7418,5.4971087704982000,v2978(-1 3),uLLLLLvzAMPQAQccdggilmnonpqsmqrptstthshgciuasbsdasiqrnjss,Vertex,5.4600749015808100,qLLvLPwAMQMkacikhkijmlmnmooppnkhhapqmbjrlvhnak,2,2,1,FALSE,
7419,5.4973178715815100,v2805(-4 1),rLLvLLzPQQPMcacghhnlkomookmnpqqnkjamjknwskwnkjehn,Vertex,16.87106990814210,rLLvLLzPQQPMcacghhnlkomookmnpqqnkjamjknwskwnkjehn,2,2,1,FALSE,
7420,5.4974217606761500,v2758(-5 1),sLALvvAMAzAQQbcbehjlnmjlomrqpqrrhhjsvemxmqwekxrbrgg,Vertex,18.036041975021400,rLLLLLzPLPQQccdghjkjmnlpooonqqqhshweupqafggbfjueh,2,2,1,FALSE,
7421,5.4975273290877900,v2758(-1 4),rLLLLvPzwQQQcacfhlhjnqpnloonppqnkguimkkxubkdqgqnj,Vertex,18.0438289642334,rLLLLvPzwQQQcacfhlhjnqpnloonppqnkguimkkxubkdqgqnj,2,2,1,FALSE,
7422,5.4976098017105700,v3120(3 1),qLLLLLPAzAQkacfgklijjnomppnopnkgjthuwjhumhwggr,Vertex,1214.059966802600,qLLLLLPAzAQkacfgklijjnomppnopnkgjthuwjhumhwggr,3,3,1,FALSE,
7423,5.4976103261496600,v2761(5 1),sLAvLPvwPMQMQbcbgjillpnnlqnoqprrhhjhwruuxxfwtnbpjfr,Vertex,6.22503399848938,rLLLLPwLMPQPcacfghhjlmmopoonqqqnkgjxeekaqthtushqx,2,2,1,FALSE,
7424,5.4976612965391800,v2756(4 1),rLLvvLMAPQMQcachljkjplknomqoppqnkaupxmmcgbpsxlugr,Vertex,446.46772289276100,rLLvvLMAPQMQcachljkjplknomqoppqnkaupxmmcgbpsxlugr,3,3,2,FALSE,
7425,5.4977684126016800,v2759(5 2),rLLvLLvAPQQQcacghjklnpnlmmqoopqnkjamwgshsgvvevwnk,Vertex,28.995628118515000,rLLvLLvAPQQQcacghjklnpnlmmqoopqnkjamwgshsgvvevwnk,2,3,1,FALSE,
7426,5.4978731457526300,v2761(5 2),qLLLMzzPMMAkacefgihlmkmlnonppnkvfjlmhhvieggsxn,Vertex,5.456276893615720,qLLLMzzPMMAkacefgihlmkmlnonppnkvfjlmhhvieggsxn,2,2,1,FALSE,
7427,5.4979065673280500,v2796(1 4),qLvLLwPPPQMkceejihkjkloonnpopqiqnvbqsmqcorwhgn,Vertex,4.588515996932980,qLvLLwPPPQMkceejihkjkloonnpopqiqnvbqsmqcorwhgn,2,3,1,TRUE,
7428,5.4979791061810600,v3346(-1 2),qLLvLzLPQPQkcdjijnomlklnmpnpphsbbbiattpefovswn,Vertex,1530.6333680152900,qLLvLzLPQPQkcdjijnomlklnmpnpphsbbbiattpefovswn,3,3,1,FALSE,
7429,5.4979962029483400,v3038(-4 1),rLLLvALMMMPQcacfhijmjkllpqpoqpqjkgauxhofnvahnojrk,Vertex,1455.177067041400,qLLLLzLPPQMkacfhihjkmllomnpppjkguumcfvvvusshkc,3,3,1,FALSE,
7430,5.4981287947526500,v3009(-3 2),qLLLLPLLPPQkbcgfhhkknolnmonpptsmgknipvjvbccsaw,Vertex,12.86760401725770,qLLLLPLLPPQkbcgfhhkknolnmonpptsmgknipvjvbccsaw,2,2,1,FALSE,
7431,5.4982972492951700,v2957(-4 1),rLLLLvvQAQQMcacfgkjonojllnnmpqqnkgjknwokjjknvjahs,Vertex,19.000214099884000,rLLLLvvQAQQMcacfgkjonojllnnmpqqnkgjknwokjjknvjahs,2,3,1,FALSE,
7432,5.4983202226060200,v2874(-5 1),rLLvLzwMPAQQcbefkljjnmonqmoppqqxxxxivflpqqxoronhh,Vertex,2753.0174131393400,rLLvLzwMPAQQcbefkljjnmonqmoppqqxxxxivflpqqxoronhh,3,3,1,FALSE,
7433,5.4983202226060200,v2873(-5 1),tLALvvMLMzQQAkbcbehlonpoormnmrqrsshhjsvuahwoomsbnmudxr,Vertex,13.627674102783200,sLLLvLAwAPQQPcdghljmkjonlqpopqrrhshvxhhddockagbkmwj,2,2,1,FALSE,
7434,5.4989722340813700,v2828(1 4),rLLLLLvMQzQQcacfgkjonnjpmnpmoqqnkgjtnhjkkpvnqwsjs,Vertex,17.61642599105840,rLLLLLvMQzQQcacfgkjonnjpmnpmoqqnkgjtnhjkkpvnqwsjs,2,2,1,FALSE,
7435,5.4990849615915700,v3103(5 1),sLLLvwwPMPQQPbcgjklnomlqqoonpqrrtsmdxqlaiggkkbvfgqn,Vertex,2040.3369410038000,rLLLLLzwPPQQccdgihjmlpllqpqpooqhshgvuhhfcfagersrp,3,3,1,TRUE,
7436,5.4991216308449000,v2878(3 2),rLLPvvMPMAQMccdfejklimooopmnnqqhsippalivadlhrsjhr,Vertex,945.2941036224370,qLLvLLwPPQQkachhljopoklppmnonjktatmnxkfsxagvkj,3,3,1,TRUE,
7437,5.4992513268688600,v3264(-3 1),qLLvzLAAQLQkacihlljikknmnopppnkiatdxioctsuifcn,Vertex,10.006606101989700,qLLvzLAAQLQkacihlljikknmnopppnkiatdxioctsuifcn,2,2,1,FALSE,
7438,5.4993328656183900,v2932(-4 1),rLvLvLLQAAQQcaehiljmolmpnqmoppqjxkaplmmwstfhsfiij,Vertex,7.4164040088653600,qLLLwPzAzMQkcdeggjilinnppnoophslmsxaxuxadlvjcn,2,2,1,FALSE,
7439,5.4993573841559800,v2877(-6 1),rLLLLLvAMAQQccdgihnjmonlpmqqppqhshfvhplfsbrsaqfwl,Vertex,2240.8958451747900,rLLLLLvAMAQQccdgihnjmonlpmqqppqhshfvhplfsbrsaqfwl,3,3,1,FALSE,
7440,5.4993573841559800,v2876(2 3),qLLzvLzMQPQkaceglmnojjmplmoppjkxlgntmngcavnsfb,Vertex,13.953891038894700,qLLzvLzMQPQkaceglmnojjmplmoppjkxlgntmngcavnsfb,2,3,1,FALSE,
7441,5.4996071856133000,v2872(-4 3),qLLvLLMPPQPkacghlinmmlnmnpoppnkjataosvkkcjxuvc,Vertex,11.859706163406400,qLLvLLMPPQPkacghlinmmlnmnpoppnkjataosvkkcjxuvc,2,2,1,FALSE,
7442,5.4996564717153900,v3275(4 1),rLLLvLQvQPMQcacflllhkmoopppnqqqnkgtqdmwkaumapmcog,Vertex,7.083180904388430,qLLLzLLAAQMkbeggijlinmnlmooppxximrxmkxbcorqdgs,2,3,1,FALSE,
7443,5.4996627383982200,v2729(4 3),rLLzvvvQQPQQccdcllniomoqmmppnpqhsnamlqfbshcfcgkgk,Vertex,8.306786060333250,rLLzvvvQQPQQccdcllniomoqmmppnpqhsnamlqfbshcfcgkgk,2,2,1,FALSE,
7444,5.4997357155379400,s952(-4 3),qLvLvMPMAQAkaejhmijknlnomnmppnxhklapptsjqfckxr,Vertex,206.78724002838100,qLvLvMPMAQAkaejhmijknlnomnmppnxhklapptsjqfckxr,3,3,2,TRUE,
7445,5.4998001738827300,v2955(-1 3),rLLvvLLAQAQQcachjkjpplkoomnnqqqnkaqxmltcgbjjvkuuf,Vertex,59.38606524467470,rLLvvLLAQAQQcachjkjpplkoomnnqqqnkaqxmltcgbjjvkuuf,2,2,1,FALSE,
7446,5.4999023926247700,v2951(5 1),rLLLvLvPQMQQccdghpjnnmonmoqpopqhshvulilhgfnbqgbgk,Vertex,1620.870587348940,qLLLvLLAQMQkcdgjlmkjonkmmpppohshmpppmxlicrupqj,3,3,1,TRUE,
7447,5.4999225170106300,v2878(1 3),qLLvLLAMAQMkacghlkjlinnonmpppnkjatamfwhxhhoxnk,Vertex,3.6517980098724400,qLLvLLAMAQMkacghlkjlinnonmpppnkjatamfwhxhhoxnk,2,2,1,TRUE,
7448,5.4999854711157700,v3031(1 3),rLLvLLMPPPPQccdgfihjjkonoqoppqqhsgnkngbicjkeodaak,Vertex,6.978303909301760,qLLvLPwAzQQkacgjhjmiolopmmpopnkotalxjxjxevcvfc,2,2,1,FALSE,
