Index,Name,Volume,Census isosig,Method,Time,Final isosig,Genus,Tetrahedra,Census fundamental group rank,Homology rank,Haken
532,m189(-5 2),3.4347909011228100,nLLLLwPMQkbcghgiikjklmlmtsmsswwdpoowss,Vertex,3.58,nLLLLwPMQkbcghgiikjklmlmtsmsswwdpoowss,2,13,2,1,TRUE
533,m180(-5 2),3.4358980791785200,nLLvLLPQQkacihkhijkmjmmljkdaeulmkfrncw,Vertex,2.986,nLLvLLPQQkacihkhijkmjmmljkdaeulmkfrncw,2,13,2,1,FALSE
534,m234(2 3),3.4424068418688800,nLLvLAMQPkcdjifhihkkllmmhskssggneapkgr,Gadget and cliques,85.758,nLLvLAMQPkcdjifhihkkllmmhskssggneapkgr,2,13,2,1,FALSE
535,m223(2 3),3.4438825800010100,nLvLLLQPQkcfghljikikkmlmllxoagvashpqwk,Vertex,4.286,nLvLLLQPQkcfghljikikkmlmllxoagvashpqwk,2,13,2,1,TRUE
536,m199(-5 1),3.4458646356177800,oLLvLLQzQQccdiijkjhmkmlnnnhsnvoqnndpmrkco,Vertex,2.791,oLLvLLQzQQccdiijkjhmkmlnnnhsnvoqnndpmrkco,2,14,2,0,FALSE
537,m179(3 4),3.4480318722662700,oLLLLMvQAQcacfgijlijmklnmnnkgjitngnkksqkj,Vertex,5.936,oLLLLMvQAQcacfgijlijmklnmnnkgjitngnkksqkj,2,14,2,1,FALSE
538,m178(3 4),3.4480318722662700,nLLvMMMPAkacfghhjiljkkmmjkvjxadmhgswxj,Vertex,0.909,nLLvMMMPAkacfghhjiljkkmmjkvjxadmhgswxj,2,13,2,1,TRUE
539,m371(-1 2),3.4490366882189400,nLLvLLQPQkcdgljkkjmlmmlkhsgprpechtxeph,Vertex,518.623,nLLvLLQPQkcdgljkkjmlmmlkhsgprpechtxeph,3,13,3,1,FALSE
540,m369(1 2),3.4490366882189400,nLvvMAMMQkbhfghkijklmlmmhhhgnhfkqlhlon,Vertex,267.248,nLvvMAMMQkbhfghkijklmlmmhhhgnhfkqlhlon,3,13,3,2,FALSE
541,m195(-4 3),3.4490366882189400,nLLLzPALQkcdgehgjikmkllmhshdvchaohskks,Vertex,0.389,nLLLzPALQkcdgehgjikmkllmhshdvchaohskks,2,13,2,1,FALSE
542,m247(1 3),3.4490366882189400,nLLLLMPzQkacfgfhijkmklmmnkgjfemrsicpcb,Gadget and cliques,29.594,nLLLLMPzQkacfgfhijkmklmmnkgjfemrsicpcb,2,13,2,2,FALSE
543,m234(-3 2),3.4507493216710700,nLLvLLAQQkachhjlhimjllmmjktaaliivwnjvc,Vertex,0.962,nLLvLLAQQkachhjlhimjllmmjktaaliivwnjvc,2,13,2,2,FALSE
544,m234(4 1),3.4521280619032400,oLLLLPPAPMccdgifhkjjkmmmnnhshksvdppdojnqw,Vertex,723.545,oLLLLPPAPMccdgifhkjjkmmmnnhshksvdppdojnqw,3,14,3,1,FALSE
545,m188(3 4),3.4538282489468800,nLLvLMQLQkacgfhkjjlmkmmlnkjfatdmhxrqaw,Vertex,1.024,nLLvLMQLQkacgfhkjjlmkmmlnkjfatdmhxrqaw,2,13,2,1,TRUE
546,m286(-5 1),3.4543139174920300,oLLLzLvQQQccdghhjimllkmnnnhshxvepkwwwbvnn,Gadget and cliques,43.473,nLLLMzzMQkcdefghkjlkmmlmhstawrqlrvhxwh,2,14,2,2,FALSE
